Order_ID,Customer_Name,Price,Quantity,Total_Sales,Date,Discount (%),Rating,Year,month,day,day_of_week,is_weekend,Product_Phone,Product_Tablet
101,0,0.5786039625907639,-0.9607689228305228,9.999500033330834e-05,2024-02-01,10.0,4.5,2024,2,1,3,0,False,False
102,1,9.999500033330834e-05,0.6405126152203485,0.3279240926120993,2024-02-02,11.428571428571429,4.0,2024,2,2,4,0,True,False
103,0,9.999500033330834e-05,-0.9607689228305228,9.999500033330834e-05,2024-01-01,5.0,4.2,2024,1,1,0,0,False,True
104,2,0.7483269985035796,-0.9607689228305228,9.999500033330834e-05,2024-02-04,15.0,5.0,2024,2,4,6,1,False,False
105,3,9.999500033330834e-05,-0.1601281538050871,9.999500033330834e-05,2024-02-05,10.0,3.8,2024,2,5,0,0,False,True
106,4,9.999500033330834e-05,2.24179415327122,9.999500033330834e-05,2024-02-06,11.428571428571429,4.2,2024,2,6,1,0,True,False
107,0,1.0200343816124369,0.6405126152203485,1.2610809955253506,2024-02-07,20.0,4.2,2024,2,7,2,0,False,False
108,5,9.999500033330834e-05,-0.9607689228305228,9.999500033330834e-05,2024-02-08,5.0,4.7,2024,2,8,3,0,False,True
109,6,9.999500033330834e-05,0.6405126152203485,0.5042404689144905,2024-01-01,11.428571428571429,4.0,2024,1,1,0,0,True,False
110,7,0.3740654959446302,-0.1601281538050871,9.999500033330834e-05,2024-02-10,15.0,4.2,2024,2,10,5,1,False,False
